Year,Coal,Gas,Biofuels,Battery,Hydro,Wind,Solar
2000,155772.82,9538.03,0,0,6936.88,0,0
2001,158695.42,10047.58,0,0,5937.81,0,0
2002,163340.22,9903.22,0,0,5189.8,0,0
2003,166879.01,8005.26,0,0,7069.47,0,0
2004,173408.48,9717.51,0,0,4787.43,0,0
2005,172540.15,10999.64,0,0,12346.51,0,0
2006,177858.23,12738.66,0,0,14424.57,0,0
2007,175697.50,19461.71,0,0,12697.21,74.05,0
2008,179135.38,17975.21,0,0,11269.74,775.89,0
2009,173187.98,19396.5,219.33,0,12094.06,2932.59,0
2010,164594.98,23647.73,208.66,0,15755.29,4469.02,0
2011,163015.20,23056.1,389.6,0,13390.36,5666,0
2012,153502.03,24500.57,334.28,0,15970.23,6352.48,0
2013,145856.85,22781.25,305,0,18571.45,7991.34,0
2014,145263.36,25333.31,377.47,0,13896.49,8507.25,0
2015,151456.53,20667.73,346.84,0,13377.28,10042.08,3662.74
2016,151084.52,17030.85,333.53,0,17070.64,11185.73,8868.32
2017,148320.54,22221.16,348.41,2.64,12924.27,11362.94,7428.48
2018,146279.55,16271.45,232.06,41.51,16706.44,14312.95,10080.67
2019,140049.55,18740,237.36,67.33,13729.98,16934.11,15768.9
2020,133920.19,15177.52,183.13,85.42,14314.99,19673.95,19744.61
2021,127992.21,11801.21,182.08,128.76,15805.62,22963.2,24992.46
2022,121487.59,13803.73,151.3,276.39,16641.2,25936.14,30129.84
2023,118192.46,10096.25,239.97,354.36,15289.56,27646.4,37764.19
2024,120259.50,11590.81,387.77,659.04,13542.68,28198.71,42161.73

