DUID,Energy Produced (MWh),Realised Usage (MW)
AGLHAL,22748.32333,2.596840563
AGLSOM,76898.95833,8.778419901
ANGAST1,2838.51625,0.324031535
ARWF1,592464.1472,67.63289352
BALBG1,625.3033333,0.071381659
BALBL1,716.1316667,0.08175019
BALDHWF1,328460.5602,37.49549774
BANN1,25849.38392,2.950842913
BARCALDN,1270.639417,0.145050162
BARCSF1,58009.89167,6.622133752
BARRON-1,101463.62,11.58260502
BARRON-2,103130.5133,11.77288965
BASTYAN,333142.4967,38.02996538
BBTHREE1,2028.765,0.231594178
BBTHREE2,1459.055,0.16655879
BBTHREE3,238.6508333,0.027243246
BDL01,100675.7283,11.49266305
BDL02,94266.90833,10.76106259
BLOWERNG,201191.4927,22.96706538
BLUFF1,159259.2867,18.18028387
BNGSF1,115548.9307,13.1905172
BNGSF2,5389.419083,0.615230489
BOCORWF1,367275.3721,41.92641234
BODWF1,58774.03233,6.709364421
BRAEMAR1,67880.83333,7.748953576
BRAEMAR2,188036.2,21.46531963
BRAEMAR3,130790.4667,14.93041857
BRAEMAR5,102472.1761,11.697737
BRAEMAR6,145841.2106,16.64854002
BRAEMAR7,69278.03442,7.908451418
BROKENH1,129557.3429,14.78965102
BUTLERSG,80179.283,9.152886187
BW01,2472027.916,282.1949676
BW02,3717180.938,424.3357235
BW03,4529571.538,517.0743765
BW04,4111945.89,469.4002158
CALL_A_4,0,0
CALL_B_1,2813520.975,321.1781935
CALL_B_2,2194988.867,250.5695054
CAPTL_WF,362578.86,41.39028082
CATHROCK,170470.6467,19.46011949
CETHANA,426946.3228,48.7381647
CG1,4224.570833,0.482256944
CG2,4590.746417,0.52405781
CG3,5425.247083,0.619320443
CG4,8720.038083,0.995438137
CHALLHWF,136349.1984,15.56497699
CHILDSF1,0,0
CLARESF1,125050.5541,14.27517741
CLEMGPWF,182664.8459,20.85215136
CLOVER,46549.735,5.313896689
CLUNY,73098.74875,8.344606022
CNUNDAWF,125882.0118,14.37009267
COLEASF1,107073.8462,12.2230418
CPP_3,3089739.236,352.7099584
CPP_4,3350853.471,382.5175195
CPSA,534604.6551,61.02792866
CROOKWF2,57909.41492,6.610663804
CROWLWF1,2446.265,0.279253995
CSPVPS1,19224.10817,2.194532896
CULLRGWF,108979.0717,12.4405333
DALNTH01,217.3093333,0.024807002
DALNTHL1,587.2934167,0.067042627
DARTM1,406597.4667,46.41523592
DAYDSF1,24332.66667,2.777701675
DDPS1,1920074.734,219.1866135
DDSF1,49639.9205,5.666657591
DEVILS_G,271025.5409,30.93898869
DG_NSW1,0,0
DG_QLD1,0,0
DG_SA1,0,0
DG_TAS1,0,0
DG_VIC1,0,0
DRYCGT1,2116.832583,0.241647555
DRYCGT2,3218.409083,0.367398297
DRYCGT3,4589.878333,0.523958714
EILDON1,107987.865,12.32738185
EILDON2,102281.5167,11.67597223
EMERASF1,33061.25492,3.774115858
ER01,3684128.995,420.5626707
ER02,3789419.632,432.5821498
ER03,4587001.043,523.6302561
ER04,5078148.18,579.6972808
ERGT01,2.502333333,0.000285654
FISHER,247632.79,28.26858333
GANNBG1,761.71475,0.086953739
GANNBL1,626.9326667,0.071567656
GANNSF1,68631.74267,7.834673821
