DUID,Fuel Source - Descriptor,Region,Station Name
ADPBA1,Grid,SA1,Adelaide Desalination Plant
ADPBA1,Grid,SA1,Adelaide Desalination Plant
ADPMH1,Water,SA1,Adelaide Desalination Plant
ADPPV1,Solar,SA1,Adelaide Desalination Plant
ADPPV2,Solar,SA1,Adelaide Desalination Plant
ADPPV3,Solar,SA1,Adelaide Desalination Plant
ALDGASF1,Solar,QLD1,Aldoga Solar Farm 
ANGAST1,Diesel,SA1,Angaston Power Station
APPIN,Waste Coal Mine Gas,NSW1,Appin Power Plant
ARWF1,Wind,VIC1,Ararat Wind Farm
AVLSF1,Solar,NSW1,Avonlie Solar Farm
BDL01,Natural Gas,VIC1,Bairnsdale Power Station
BDL02,Natural Gas,VIC1,Bairnsdale Power Station
BAKING1,Solar,QLD1,Baking Board Solar Farm
BALDHWF1,Wind,VIC1,Bald Hills Wind Farm
BALB1,Grid,VIC1,Ballarat Battery Energy Storage System
BANGOWF1,Wind,NSW1,Bango 973 Wind Farm
BANGOWF2,Wind,NSW1,Bango 999 Wind Farm
BAPS,Water,VIC1,Banimboola Power Station
BANN1,Solar,VIC1,Bannerton Solar Park
BARCALDN,Natural Gas,QLD1,Barcaldine Power Station
BARCSF1,Solar,QLD1,Barcaldine Solar Farm
BARKIPS1,Natural Gas,SA1,Barker Inlet Power Station
BARRON-1,Water,QLD1,Barron Gorge Power Station
BARRON-2,Water,QLD1,Barron Gorge Power Station
BLNKTAS,,TAS1,Basslink HVDC Link
BLNKVIC,,VIC1,Basslink HVDC Link
BASTYAN,Water,TAS1,Bastyan Power Station
BW01,Black Coal,NSW1,Bayswater Power Station
BW02,Black Coal,NSW1,Bayswater Power Station
BW03,Black Coal,NSW1,Bayswater Power Station
BW04,Black Coal,NSW1,Bayswater Power Station
BBTHREE1,Natural Gas,TAS1,Bell Bay Three Power Station
BBTHREE2,Natural Gas,TAS1,Bell Bay Three Power Station
BBTHREE3,Natural Gas,TAS1,Bell Bay Three Power Station
TVPP104,Natural Gas,TAS1,Bell Bay Three Power Station
BRYB2WF2,Wind,VIC1,Berrybank 2 Wind Farm
BRYB1WF1,Wind,VIC1,Berrybank Wind Farm
BERYLSF1,Solar,NSW1,Beryl Solar Farm
BLOWERNG,Water,NSW1,Blowering Power Station
BLUEGSF1,Solar,QLD1,Blue Grass Solar Farm
BLYTHB1,Grid,SA1,Blyth Battery Energy Storage System
BOCORWF1,Wind,NSW1,Boco Rock Wind Farm
BODWF1,Wind,NSW1,Bodangora Wind Farm 
MCKAY1,Water,VIC1,Bogong / Mackay Power Station
BOLIVPS1,Natural Gas,SA1,Bolivar Power Station
BOLIVAR1,Sewerage / Waste Water,SA1,Bolivar Waste Water Treatment Plant
BOWWBA1,Grid,SA1,Bolivar Waste Water Treatment Plant
BOWWDG1,Diesel,SA1,Bolivar Waste Water Treatment Plant
BOWWPV1,Solar,SA1,Bolivar Waste Water Treatment Plant
BOMENSF1,Solar,NSW1,Bomen Solar Farm
BBATTERY1,Grid,QLD1,Bouldercombe Battery Project
BRAEMAR5,Coal Seam Methane,QLD1,Braemar 2 Power Station
BRAEMAR6,Coal Seam Methane,QLD1,Braemar 2 Power Station
BRAEMAR7,Coal Seam Methane,QLD1,Braemar 2 Power Station
BRAEMAR1,Coal Seam Methane,QLD1,Braemar Power Station
BRAEMAR2,Coal Seam Methane,QLD1,Braemar Power Station
BRAEMAR3,Coal Seam Methane,QLD1,Braemar Power Station
BRNDBES1,Grid,QLD1,Brendale BESS
BWTR1,Bagasse,NSW1,Broadwater Power Station
BHB1,Grid,NSW1,Broken Hill Battery Energy Storage System
GB01,Diesel,NSW1,Broken Hill Gas Turbines
BROKENH1,Solar,NSW1,Broken Hill Solar Plant
BROOKLYN,Landfill Methane / Landfill Gas,VIC1,Brooklyn LFG U1-3
BROWNMT,Water,NSW1,Brown Mountain Hydro Power Station
BPLANDF1,Landfill Methane / Landfill Gas,QLD1,Browns Plains Landfill Gas PS
BULBES1,Grid,VIC1,Bulgana Green Power Hub
BULGANA1,Wind,VIC1,Bulgana Green Power Hub
BNGSF1,Solar,SA1,Bungala One Solar Farm
BNGSF2,Solar,SA1,Bungala Two Solar Farm
BDONGHYD,Water,NSW1,Burrendong Hydro Power Station
BURRIN,Water,NSW1,Burrinjuck Hydro Power Station
BUTLERSG,Water,TAS1,Butlers Gorge Power Station
CPP_3,Black Coal,QLD1,Callide C Nett Off
CPP_4,Black Coal,QLD1,Callide C Nett Off
-,Black Coal,QLD1,Callide Power Station
CALL_B_1,Black Coal,QLD1,Callide Power Station
CALL_B_2,Black Coal,QLD1,Callide Power Station
CNUNDAWF,Wind,SA1,Canunda Wind Farm
CAPBES1,Grid,NSW1,Capital Battery
CESF1,Solar,NSW1,Capital East Solar Farm
CAPTL_WF,Wind,NSW1,Capital Wind Farm
LI_WY_CA,Water,TAS1,Catagunya / Liapootah / Wayatinah Power Station
CATHROCK,Wind,SA1,Cathedral Rocks
CTHLWF1,Wind,TAS1,Cattle Hill Wind Farm
CETHANA,Water,TAS1,Cethana Power Station
CHALLHWF,Wind,VIC1,Challicum Hills Wind Farm
CHPSTWF1,Wind,VIC1,Chepstowe Wind Farm
CHYTWF1,Wind,VIC1,Cherry Tree Wind Farm
CHILDSF1,Solar,QLD1,Childers Solar Farm
CHBESS1,Grid,QLD1,"Chinchilla BESS, Units 1-80"
CBWWBA1,Grid,SA1,Christies Beach Wastewater Treatment Plant
CBWWBG1,Biogas - sludge,SA1,Christies Beach Wastewater Treatment Plant
CBWWDG1,Diesel,SA1,Christies Beach Wastewater Treatment Plant
CBWWDG2,Diesel,SA1,Christies Beach Wastewater Treatment Plant
CBWWPV1,Solar,SA1,Christies Beach Wastewater Treatment Plant
CBWWPV2,Solar,SA1,Christies Beach Wastewater Treatment Plant
CLARESF1,Solar,QLD1,Clare Solar Farm
CLRKCWF1,Wind,QLD1,Clarke Creek Wind Farm
CLRKCWF2,Wind,QLD1,Clarke Creek Wind Farm
CLAYTON,Landfill Methane / Landfill Gas,VIC1,Clayton Landfill Gas Power Station
CLEMGPWF,Wind,SA1,Clements Gap Wind Farm
CLERMSF1,Solar,QLD1,Clermont Solar Farm
CLOVER,Water,VIC1,Clover Power Station
CLUNY,Water,TAS1,Cluny Power Station
CODRNGTON,Wind,VIC1,Codrington Wind Farm
COHUNSF1,Solar,VIC1,Cohuna Solar Farm
COLEASF1,Solar,NSW1,Coleambally Solar Farm
COLWF01,Wind,NSW1,Collector Wind Farm 1
CSPVPS1,Solar,QLD1,Collinsville Solar PV Power Station
CG1,Natural Gas,NSW1,Colongra Power Station
CG2,Natural Gas,NSW1,Colongra Power Station
CG3,Natural Gas,NSW1,Colongra Power Station
CG4,Natural Gas,NSW1,Colongra Power Station
COLUMSF1,Solar,QLD1,Columboola Solar Farm
CPSA,Natural Gas,QLD1,Condamine Power Station A
CONDONG1,Bagasse,NSW1,Condong Power Station
CBWF1,Wind,VIC1,Coonooer Bridge Wind Farm
COOPGWF1,Wind,QLD1,Coopers Gap Wind Farm
COPTNHYD,Water,NSW1,Copeton Hydro Power Station
CRWASF1,Solar,NSW1,Corowa Solar Farm
CROOKWF2,Wind,NSW1,Crookwell 2 Wind Farm
CROOKWF3,Wind,NSW1,Crookwell 3 Wind Farm
CROWLWF1,Wind,VIC1,Crowlands Wind Farm
CRURWF1,Wind,NSW1,Crudine Ridge Wind Farm
CUSF1,Solar,NSW1,Culcairn Solar Farm
CULLRGWF,Wind,NSW1,Cullerin Range Wind Farm
DALNTH1,Grid,SA1,Dalrymple North BESS
DDPS1,Natural Gas,QLD1,Darling Downs Power Station
DDSF1,Solar ,QLD1,Darling Downs Solar Farm
DPNTB1,Grid,NSW1,Darlington Point Energy Storage System
DARLSF1,Solar,NSW1,Darlington Point Solar Farm
