Power station name,Installed capacity,Accreditation start date
Varsity Views - Solar w SGU - QLD,0.2109,18/12/2024
NNSWLHD-Byron Central Hospital - Solar - NSW,0.7203,12/12/2024
Springwood Terrace Care Community - Solar w SGU - QLD,0.189,10/12/2024
Bunnings Bennetts Green - Solar - NSW,0.28,3/12/2024
Tuggerah Home MSB1 254kW - Solar - NSW,0.254,2/12/2024
Tuggerah Home MSB2 245.5kW - Solar - NSW,0.2455,2/12/2024
Tuggerah Home MSB3 372 kW - Solar - NSW,0.372,2/12/2024
Bunnings Dubbo - Solar - NSW,0.36,29/11/2024
Haymes Paint - Solar w SGU - VIC,0.494,29/11/2024
Lagoons@Port CTS35761 Port Douglas - SOLAR - QLD,0.234,29/11/2024
Southern Steel Pty - Brice Metal - Solar w SGU - SA,0.1999,28/11/2024
Tasman Foods International - Solar  wSGU - VIC,0.1489,27/11/2024
Tweed Valley Care Community - Solar w SGU - NSW,0.1595,27/11/2024
Singleton Community Aged Care - Solar w SGU - WA,0.1998,26/11/2024
Inglis (4311292321) - Solar w SGU - NSW,0.2227,26/11/2024
Inglis (4311292319) - Solar w SGU - NSW,0.2227,22/11/2024
Redmud Green Energy 188 - Solar - SA,6.8425,20/11/2024
Coca-Cola Northmead 102 Briens - Solar - NSW,0.7342,18/11/2024
MF Gallipoli Dr - Solar - SA,1.0001,18/11/2024
ISPT - Greystanes Industrial Park WH3 - Solar - NSW,0.2997,18/11/2024
Woolworths Mt Annan 1388 - Solar - NSW,0.3321,18/11/2024
Woolworths Schofields 1941 - Solar - NSW,0.3802,18/11/2024
Woolworths Southern River 4357 - Solar - WA,0.1578,18/11/2024
Big W DC Hoxton Park 190 - Solar - NSW,1.3276,18/11/2024
ISPT - Greystanes Industrial Park WH1 - Solar - NSW,1.0001,18/11/2024
MF Millaroo Dr - Solar - QLD,0.3,18/11/2024
Bunnings Hawthorn - Solar - VIC,0.2541,15/11/2024
Woolworths Midvale 4686 - Solar - WA,0.2245,14/11/2024
Coca-Cola Northmead 128 Briens - Solar - NSW,3.4413,14/11/2024
BPW Transpec Pty Ltd - Solar W SGU - VIC,0.4489,13/11/2024
Minter Magic Iraak - Solar w SGU - VIC,0.1998,12/11/2024
REDARC Electronics Solar w SGU- SA,0.4293,8/11/2024
Woolworths CFC Auburn - Solar - NSW,1.5001,7/11/2024
Woolworths Yass 1325 - Solar - NSW,0.2098,6/11/2024
HNELHD Armidale - Solar - NSW,0.4191,6/11/2024
PPC Moulding Services - Solar - NSW,0.8867,6/11/2024
Toyota Mackay - Solar - QLD,0.2,6/11/2024
AU875 Moorebank 5 Secombe Pl - Solar w SGU - NSW,0.2255,6/11/2024
HNELHD Belmont - Solar - NSW,0.3758,5/11/2024
Wynstan - Solar w SGU - NSW,0.5,5/11/2024
SEALY OF AUSTRALIA (BRIS) - SOLAR W SGU -QLD,0.1997,1/11/2024
AU870 Interchange Pk 27 Interchange - Solar - NSW,0.572,31/10/2024
Big W Renmark 564 - Solar - SA,0.1858,31/10/2024
Woolworths Kiama 1163 - Solar - NSW,0.2429,31/10/2024
Lineage Edinburgh Park - Solar - SA,0.864,31/10/2024
Scalabrini Allambie Height - Solar w SGU - NSW,0.16,30/10/2024
MF Grand Jct Rd - Solar - SA,0.2,30/10/2024
